time,prediction
1659494265.130032,3498
1659494270.130032,3498
1659494275.130032,3496.3269712008528
1659494280.130032,6950.402712164008
1659494285.130032,5680.709129301882
1659494290.130032,2888.0500270047605
1659494295.130032,10250.464136281033
1659494300.130032,8826.975957960996
1659494305.130032,9068.988328439335
1659494310.130032,8047.968894770953
1659494315.130032,10000.287186037294
1659494320.130032,9575.466159268326
1659494325.130032,10824.298822035706
1659494330.130032,9355.238886682677
1659494335.130032,10808.378078343281
1659494340.130032,12432.438696776491
1659494345.130032,13717.981175275681
1659494350.130032,13927.789940519577
1659494355.130032,97107.65568537654
1659494360.130032,37039.1476857443
1659494365.130032,27828.2116139776
1659494370.130032,28700.788966398286
1659494375.130032,29347.627904210454
1659494380.130032,28677.35307464901
1659494385.130032,17931.861525779994
1659494390.130032,13401.123966336996
1659494395.130032,19323.106747045666
1659494400.130032,19970.13971252474
1659494405.130032,12475.903519608239
1659494410.130032,10429.017118054757
1659494415.130032,16772.207515135655
1659494420.130032,11291.364781330387
1659494425.130032,21769.22921450724
1659494430.130032,21769.22921450724
1659494435.130032,23815.715454536963
1659494440.130032,18150.083971390686
1659494445.130032,25797.250308313236
1659494450.130032,17056.633286075878
1659494455.130032,38197.257718708126
1659494460.130032,28646.34119177958
1659494465.130032,19253.297142153366
1659494470.130032,14661.016495477796
1659494475.130032,11184.210917424016
1659494480.130032,10656.70693592425
1659494485.130032,4460.444043127738
1659494490.130032,8589.059364158456
1659494495.130032,10189.54429204475
1659494500.130032,11418.299670910501
1659494505.130032,11889.339687575268
1659494510.130032,13667.958017629446
1659494515.130032,14914.627506492783
1659494520.130032,19066.20557777544
1659494525.130032,18975.62055872633
1659494530.130032,13707.318787164488
1659494535.130032,36098.10841506162
1659494540.130032,34109.88181765731
1659494545.130032,18341.459221341927
1659494550.130032,27550.396205398123
1659494555.130032,23586.344746643103
1659494560.130032,23076.57621424951
1659494565.130032,15677.961517243451
1659494570.130032,26295.152751287133
1659494575.130032,26188.136063849048
1659494580.130032,20496.664798110272
1659494585.130032,18940.67001890742
1659494590.130032,13702.693193044723
1659494595.130032,18462.93912302502
1659494600.130032,-1856.4232241870232
1659494605.130032,21767.76815495026
1659494610.130032,31335.05546395884
1659494615.130032,34531.51283006783
1659494620.130032,38634.025154598436
1659494625.130032,44853.1715749188
1659494630.130032,30439.891226742096
1659494635.130032,27295.391154118057
1659494640.130032,29210.339312222008
1659494645.130032,12008.446492089488
1659494650.130032,12008.446492089488
1659494655.130032,12008.446492089488
1659494660.130032,14123.741872864815
1659494665.130032,26163.990510826807
1659494670.130032,-267.75097212028777
1659494675.130032,36336.509194585364
1659494680.130032,17615.2738728177
1659494685.130032,33182.437602357226
1659494690.130032,29553.058002837934
1659494695.130032,18279.18159832134
1659494700.130032,19207.780321239392
1659494705.130032,27159.036622715816
1659494710.130032,9718.54917496554
1659494715.130032,29674.337091759866
1659494720.130032,25526.004889080046
1659494725.130032,27656.610531039187
1659494730.130032,29553.980621527764
1659494735.130032,30187.22579214312
1659494740.130032,27043.940005754233
1659494745.130032,30626.272351189655
1659494750.130032,27229.74225689826
1659494755.130032,19045.70705287335
1659494760.130032,40212.859705706156
1659494765.130032,20391.804430970864
1659494770.130032,20397.630736768155
1659494775.130032,38539.24220406604
1659494780.130032,41033.30792180001
1659494785.130032,30123.294567423225
1659494790.130032,38016.03940723016
1659494795.130032,40099.60452776772
1659494800.130032,38358.64586593726
1659494805.130032,27363.84676306547
1659494810.130032,10638.432842851831
1659494815.130032,14768.789926734338
1659494820.130032,-38248.475946111445
1659494825.130032,21340.4839605267
1659494830.130032,21409.27266524406
1659494835.130032,45419.456288894085
1659494840.130032,27705.71563427526
1659494845.130032,46268.28514992641
1659494850.130032,47371.99449781495
1659494855.130032,48123.17386203829
1659494860.130032,48123.17386203829
1659494865.130032,47397.470006935466
1659494870.130032,41579.31047059479
1659494875.130032,42825.29564460362
1659494880.130032,25495.178660982805
1659494885.130032,28046.669882872782
1659494890.130032,28046.669882872782
1659494895.130032,20547.00594977114
1659494900.130032,21431.2517189504
1659494905.130032,12785.217852422173
1659494910.130032,14877.368415010425
1659494915.130032,17208.706451827555
1659494920.130032,20204.431710231933
1659494925.130032,19646.838788250287
1659494930.130032,24520.302294372916
1659494935.130032,23134.62706676787
1659494940.130032,18273.482442653534
1659494945.130032,25250.429700541714
1659494950.130032,19185.508441913684
1659494955.130032,23536.304283757352
1659494960.130032,17596.32180801367
1659494965.130032,17441.406837846207
1659494970.130032,38835.23425903851
1659494975.130032,22182.36589348194
1659494980.130032,21746.877843366387
1659494985.130032,26995.366247699334
1659494990.130032,21387.81615100561
1659494995.130032,15422.599519547082
1659495000.130032,14382.328337982864
1659495005.130032,11728.89788075628
1659495010.130032,15148.521072796979
1659495015.130032,14200.792850109989
1659495020.130032,14232.152638008
1659495025.130032,29536.08686164511
1659495030.130032,17454.59198723815
1659495035.130032,17011.218902914472
1659495040.130032,40054.11339533368
1659495045.130032,32791.57364884818
1659495050.130032,24446.57111673487
1659495055.130032,24843.962841552566
1659495060.130032,17878.1514975013
1659495065.130032,17236.191545627564
1659495070.130032,17236.191545627564
1659495075.130032,41473.26947854404
1659495080.130032,13174.394234101725
1659495085.130032,18025.584888653502
1659495090.130032,38337.82534270032
1659495095.130032,25662.79742958397
1659495100.130032,21029.371682452813
1659495105.130032,23052.876105636366
1659495110.130032,12482.919293614657
1659495115.130032,12482.919293614657
1659495120.130032,8926.882368770293
1659495125.130032,19503.618181767604
1659495130.130032,21386.242151582213
1659495135.130032,15957.124516716292
1659495140.130032,20751.38655450995
1659495145.130032,41980.988463954825
1659495150.130032,17727.223514660614
1659495155.130032,31549.844146260162
1659495160.130032,41357.111289220134
1659495165.130032,28450.525376746155
1659495170.130032,30025.14812743364
1659495175.130032,31647.289064259498
1659495180.130032,32608.268038712587
1659495185.130032,29127.88714493635
1659495190.130032,16457.80578161577
1659495195.130032,28289.664167229308
1659495200.130032,28289.664167229308
1659495205.130032,21592.015956319145
1659495210.130032,7597.4825597992385
1659495215.130032,14802.21180109984
1659495220.130032,11063.37848652077
1659495225.130032,11252.72078361576
1659495230.130032,10035.237931534411
1659495235.130032,10024.72354708753
1659495240.130032,9062.413960670958
1659495245.130032,9470.525139578642
1659495250.130032,7533.552003554324
1659495255.130032,17582.19636506761
1659495260.130032,15087.250774411905
1659495265.130032,13463.433141959324
1659495270.130032,14390.91765654576
1659495275.130032,14390.91765654576
1659495280.130032,14179.281936598347
1659495285.130032,15107.45350290987
1659495290.130032,12321.845101090094
1659495295.130032,8847.19932697321
1659495300.130032,19065.40873820173
