time,prediction
1664599952.122157,58216.000891382995
1664599957.122157,58216.000891382995
1664599962.122157,46037.81935947544
1664599967.122157,52116.60490463214
1664599972.122157,47994.830113332166
1664599977.122157,46878.05468727179
1664599982.122157,46204.69200236139
1664599987.122157,46711.59208897365
1664599992.122157,44148.68762691251
1664599997.122157,43289.20958839606
1664600002.122157,48558.24585460922
1664600007.122157,45518.72929473919
1664600012.122157,45606.63982925886
1664600017.122157,38373.423732197014
1664600022.122157,43335.95303408917
1664600027.122157,48340.099067763615
1664600032.122157,44299.84261103779
1664600037.122157,43182.82631745631
1664600042.122157,43199.585634075
1664600047.122157,39302.56930563865
1664600052.122157,40766.013643962615
1664600057.122157,36266.313198226155
1664600062.122157,36781.513534124046
1664600067.122157,41153.125703726786
1664600072.122157,31695.17773336248
1664600077.122157,45512.73068907204
1664600082.122157,33164.177076631546
1664600087.122157,44508.066724370874
1664600092.122157,35936.83384943276
1664600097.122157,38636.37437310422
1664600102.122157,47412.36748401216
1664600107.122157,35817.429419764354
1664600112.122157,44340.884649542226
1664600117.122157,40130.96688075064
1664600122.122157,55542.73144200222
1664600127.122157,52553.49184899127
1664600132.122157,53372.73312569844
1664600137.122157,48417.54290888256
1664600142.122157,43537.25237800589
1664600147.122157,46395.0627807217
1664600152.122157,43478.247055775624
1664600157.122157,40962.56521323354
1664600162.122157,39880.200557346994
1664600167.122157,39350.976818026844
1664600172.122157,37296.189420881456
1664600177.122157,36987.719622931145
1664600182.122157,44646.46065016524
1664600187.122157,36167.961022917945
1664600192.122157,53495.55426552976
1664600197.122157,51567.437244063425
1664600202.122157,51788.78103077057
1664600207.122157,52021.69641574558
1664600212.122157,54036.76967617407
1664600217.122157,55769.21617337875
1664600222.122157,45222.48723160447
1664600227.122157,42342.44442749039
1664600232.122157,44044.62452539169
1664600237.122157,41162.88260814774
1664600242.122157,41162.88260814774
1664600247.122157,9263.962868192286
1664600252.122157,10970.766873804261
1664600257.122157,9525.523321037437
1664600262.122157,17575.957170807906
1664600267.122157,12239.849454135156
1664600272.122157,21833.492926068528
1664600277.122157,38056.04933898151
1664600282.122157,48869.813767081345
1664600287.122157,44141.3484207413
1664600292.122157,43009.99969625474
1664600297.122157,48927.40084052978
1664600302.122157,49608.86549226258
1664600307.122157,47561.67792141708
1664600312.122157,44405.94044831198
1664600317.122157,47543.24471519015
1664600322.122157,46663.38064349444
1664600327.122157,37096.43120566964
1664600332.122157,47267.618608731034
1664600337.122157,47951.51360364185
1664600342.122157,46714.65361411785
1664600347.122157,43525.02273682634
1664600352.122157,47428.408394270285
1664600357.122157,45181.170258513994
1664600362.122157,43830.69382720465
1664600367.122157,49703.52627505785
1664600372.122157,39948.09708595518
1664600377.122157,46895.01559195995
1664600382.122157,41936.59941927786
1664600387.122157,46580.195475741166
1664600392.122157,45662.39015691477
1664600397.122157,-300183.9416194547
1664600402.122157,28987.927083717295
1664600407.122157,24958.105476376866
1664600412.122157,31335.039663337622
1664600417.122157,28671.162707873867
1664600422.122157,26808.701139563585
1664600427.122157,37408.681390595884
1664600432.122157,42399.88995643001
1664600437.122157,48546.09123251136
1664600442.122157,52837.74582627952
1664600447.122157,65626.22770933065
1664600452.122157,22940.32119048105
1664600457.122157,19798.95794146048
1664600462.122157,24276.570499490066
1664600467.122157,16286.848537038934
1664600472.122157,20554.848485908075
1664600477.122157,38821.72198022379
1664600482.122157,41181.823177316226
1664600487.122157,41578.918215224585
