time,prediction
1664599952.122157,50809.08013550979
1664599957.122157,50809.08013550979
1664599962.122157,41310.569147343485
1664599967.122157,53576.42965059493
1664599972.122157,48053.85389834698
1664599977.122157,46901.02478528278
1664599982.122157,46192.887091517136
1664599987.122157,46708.89291444948
1664599992.122157,43697.864366005306
1664599997.122157,43245.48968066223
1664600002.122157,47330.19733355605
1664600007.122157,45481.445238318884
1664600012.122157,46113.3416546111
1664600017.122157,41954.376166277696
1664600022.122157,42960.45398333645
1664600027.122157,55298.49802915362
1664600032.122157,44298.66647653224
1664600037.122157,43304.59628271155
1664600042.122157,43181.18721649396
1664600047.122157,39186.675847132516
1664600052.122157,40828.34813520073
1664600057.122157,37388.45767690722
1664600062.122157,37041.900301898495
1664600067.122157,40770.55545878289
1664600072.122157,30808.341063661777
1664600077.122157,45657.007682889816
1664600082.122157,32030.822368986963
1664600087.122157,44608.079326384104
1664600092.122157,34910.34575347039
1664600097.122157,36197.6413754026
1664600102.122157,45768.39190214839
1664600107.122157,29797.31532740646
1664600112.122157,44101.37814150848
1664600117.122157,39312.3509385431
1664600122.122157,57962.74487705804
1664600127.122157,54763.62751863023
1664600132.122157,54847.979277860315
1664600137.122157,48430.237134279705
1664600142.122157,41211.467628171566
1664600147.122157,46430.70104840924
1664600152.122157,43685.21014636926
1664600157.122157,39326.52325862568
1664600162.122157,40221.691550970114
1664600167.122157,39690.16853289119
1664600172.122157,35924.54228025703
1664600177.122157,35325.02002378215
1664600182.122157,44032.121868464295
1664600187.122157,33092.27911123044
1664600192.122157,53224.91510115183
1664600197.122157,52425.2472963318
1664600202.122157,52078.516032373875
1664600207.122157,53252.359328859224
1664600212.122157,55699.25306570632
1664600217.122157,56152.45303636083
1664600222.122157,53074.899290477326
1664600227.122157,42514.67202767095
1664600232.122157,44040.487260877555
1664600237.122157,41362.024909268854
1664600242.122157,41362.024909268854
1664600247.122157,9677.351897450697
1664600252.122157,10964.860071231346
1664600257.122157,9515.150465810613
1664600262.122157,17546.78547878494
1664600267.122157,12246.288494525474
1664600272.122157,21841.782569291165
1664600277.122157,36980.85207758444
1664600282.122157,48896.856423842364
1664600287.122157,43986.92843831982
1664600292.122157,43119.86541293277
1664600297.122157,50001.1772451793
1664600302.122157,51276.32069419123
1664600307.122157,47565.15471161207
1664600312.122157,43704.23948446319
1664600317.122157,47259.77322342819
1664600322.122157,47037.43365024361
1664600327.122157,36922.14631337116
1664600332.122157,47524.159291583834
1664600337.122157,46637.72076224517
1664600342.122157,45269.86105076751
1664600347.122157,43486.92379476294
1664600352.122157,46453.2173353438
1664600357.122157,45155.642959744415
1664600362.122157,43823.121690679785
1664600367.122157,51033.92414843443
1664600372.122157,36990.19821389713
1664600377.122157,46820.26455754412
1664600382.122157,40036.90852813923
1664600387.122157,46606.44488915848
1664600392.122157,44477.598451284226
1664600397.122157,-276233.3135912256
1664600402.122157,28880.355382873004
1664600407.122157,24895.876316217436
1664600412.122157,31354.193677539442
1664600417.122157,28546.054678993365
1664600422.122157,22820.125498518093
1664600427.122157,38956.895675719294
1664600432.122157,42956.37948909893
1664600437.122157,48551.48088560454
1664600442.122157,53995.412283728394
1664600447.122157,93310.09076569328
1664600452.122157,22931.06890765478
1664600457.122157,19822.800074756142
1664600462.122157,24273.16920904379
1664600467.122157,16187.354240714441
1664600472.122157,20504.311322367976
1664600477.122157,38322.87295161268
1664600482.122157,45223.412035796064
1664600487.122157,41621.756134866846
1664600492.122157,45813.18072773113
1664600497.122157,40269.56086112267
1664600502.122157,40449.554056590176
1664600507.122157,37240.61738353921
1664600512.122157,41628.13740412583
1664600517.122157,46424.26931888108
1664600522.122157,43335.523768582985
1664600527.122157,46580.09633314514
1664600532.122157,44018.46254264111
1664600537.122157,44089.78201098868
1664600542.122157,35708.29466800825
1664600547.122157,41382.62009270298
1664600552.122157,46726.83881652927
1664600557.122157,40316.717227634756
1664600562.122157,45324.2528527585
1664600567.122157,-2789.150693676027
1664600572.122157,44600.88659772288
1664600577.122157,44635.189080742166
1664600582.122157,50080.789025752056
1664600587.122157,43595.02955878155
1664600592.122157,48524.99924725888
1664600597.122157,38874.28877463142
1664600602.122157,30732.40447220966
1664600607.122157,42777.79153679428
1664600612.122157,42117.48287236081
1664600617.122157,41378.69978622401
1664600622.122157,24225.048000271192
1664600627.122157,16905.67952171212
1664600632.122157,24444.907560750482
1664600637.122157,20748.54414985287
1664600642.122157,21309.84368302804
1664600647.122157,24130.19912711786
1664600652.122157,42339.784317494996
1664600657.122157,57001.559679320984
1664600662.122157,45373.28735521604
1664600667.122157,45560.450636767804
1664600672.122157,53462.718405597756
1664600677.122157,41393.37874507082
1664600682.122157,31987.47961004428
1664600687.122157,26977.240543155694
1664600692.122157,43305.431932021405
1664600697.122157,29305.092531279544
1664600702.122157,41024.94030767074
1664600707.122157,36746.83798592623
1664600712.122157,47033.145165589296
1664600717.122157,54318.18980548733
1664600722.122157,45006.1335166131
1664600727.122157,43557.29306917748
1664600732.122157,41859.97173840458
1664600737.122157,39303.51298536521
1664600742.122157,36895.590564854734
1664600747.122157,35884.072072520765
1664600752.122157,45314.09788189791
1664600757.122157,40234.60866216228
1664600762.122157,47813.21959023913
1664600767.122157,42285.03481848284
1664600772.122157,48801.36612342289
1664600777.122157,41069.8337195156
1664600782.122157,44575.44166958101
1664600787.122157,50294.83372312207
1664600792.122157,43367.925706670256
1664600797.122157,44072.746975727205
1664600802.122157,43439.55308656993
1664600807.122157,48937.44568943514
1664600812.122157,45917.425217681164
1664600817.122157,47719.699047431386
1664600822.122157,38041.99542366296
1664600827.122157,37956.12226468739
1664600832.122157,39598.43421104765
1664600837.122157,30783.660158370625
1664600842.122157,38005.31135666288
1664600847.122157,37303.0062947984
1664600852.122157,36794.66872158047
1664600857.122157,37327.43144035275
1664600862.122157,50815.3607931333
1664600867.122157,44321.44893571058
1664600872.122157,40933.098871075614
1664600877.122157,46651.329609035565
1664600882.122157,43538.54638919247
1664600887.122157,42609.46982107851
1664600892.122157,43495.66172735787
1664600897.122157,42639.19165426694
1664600902.122157,35721.20639156246
1664600907.122157,48372.36242465791
1664600912.122157,45940.77151503967
1664600917.122157,45238.07333416045
1664600922.122157,42546.26741469187
1664600927.122157,45858.98119767343
1664600932.122157,45169.39719840153
1664600937.122157,48127.543132207924
1664600942.122157,44548.681168369236
1664600947.122157,51848.713594375935
1664600952.122157,46193.13741058444
1664600957.122157,51531.207071595774
1664600962.122157,45290.8333155744
1664600967.122157,42434.48927767965
1664600972.122157,42214.46757698189
1664600977.122157,50910.42295276344
1664600982.122157,36032.82931438783
1664600987.122157,48691.50757121287
1664600992.122157,39133.65611480015
1664600997.122157,48161.94839516023
1664601002.122157,36589.317414159144
1664601007.122157,42622.12286695075
1664601012.122157,45086.97040639507
1664601017.122157,40751.3043408432
