time,prediction
1659494265.130032,3498
1659494270.130032,3498
1659494275.130032,6139.504013318748
1659494280.130032,6057.000000000001
1659494285.130032,6498.491582841613
1659494290.130032,7071.199999999998
1659494295.130032,9124.667989256246
1659494300.130032,9367.621829619033
1659494305.130032,9451.42857142857
1659494310.130032,9070.626339198148
1659494315.130032,9248.857142857145
1659494320.130032,9572.991890910082
1659494325.130032,10225.155458982561
1659494330.130032,10166.00104515535
1659494335.130032,10734.124999999998
1659494340.130032,12102.428503691617
1659494345.130032,12461.898488160092
1659494350.130032,12554.22222222222
1659494355.130032,29182.181818181816
1659494360.130032,33201.73333333333
1659494365.130032,34139.0
1659494370.130032,34347.71428571428
1659494375.130032,36417.000000000015
1659494380.130032,34322.46666666667
1659494385.130032,23129.706311650247
1659494390.130032,15242.38941626699
1659494395.130032,15434.954483477106
1659494400.130032,15587.303375554251
1659494405.130032,14496.624999999998
1659494410.130032,14262.249999999998
1659494415.130032,17270.50572210031
1659494420.130032,16575.0
1659494425.130032,17037.6
1659494430.130032,17037.6
1659494435.130032,18025.999999999996
1659494440.130032,19808.81818181818
1659494445.130032,19785.77549016062
1659494450.130032,22641.324637648853
1659494455.130032,22721.499999999996
1659494460.130032,21861.363636363632
1659494465.130032,20558.736423361624
1659494470.130032,17990.82797499073
1659494475.130032,15029.249999999996
1659494480.130032,8027.992111891846
1659494485.130032,9418.500834914315
1659494490.130032,9849.571428571428
1659494495.130032,9956.624999999998
1659494500.130032,9890.563559820843
1659494505.130032,10948.859040890387
1659494510.130032,11225.288473725963
1659494515.130032,13774.666666666666
1659494520.130032,15675.116289660811
1659494525.130032,16964.14688921565
1659494530.130032,15891.849885478527
1659494535.130032,23606.500000000004
1659494540.130032,30019.062500000015
1659494545.130032,30108.25714327921
1659494550.130032,30969.808464199254
1659494555.130032,31130.989295717205
1659494560.130032,30799.41176470589
1659494565.130032,26037.393681525213
1659494570.130032,19745.62098450044
1659494575.130032,19976.656865109388
1659494580.130032,18677.16666666667
1659494585.130032,17671.75
1659494590.130032,17123.93876851447
1659494595.130032,16219.599999999997
1659494600.130032,18786.416626395458
1659494605.130032,24711.387260485033
1659494610.130032,26978.986591791134
1659494615.130032,29092.435034391452
1659494620.130032,30676.000000000007
1659494625.130032,33669.26533076194
1659494630.130032,29796.70674002265
1659494635.130032,25257.500000000007
1659494640.130032,23131.259069182317
1659494645.130032,20100.625078194575
1659494650.130032,20100.625078194575
1659494655.130032,20100.625078194575
1659494660.130032,16186.17590736155
1659494665.130032,12407.999999999996
1659494670.130032,12853.036539946748
1659494675.130032,30409.039753528137
1659494680.130032,28239.400000000005
1659494685.130032,27829.27272727272
1659494690.130032,28767.461538461546
1659494695.130032,27350.90058749427
1659494700.130032,26886.264801234433
1659494705.130032,18976.000000000004
1659494710.130032,20402.012066598934
1659494715.130032,24758.988444394006
1659494720.130032,24859.54490582022
1659494725.130032,25265.823129939476
1659494730.130032,27180.428571428572
1659494735.130032,26794.214285714294
1659494740.130032,26938.63508783197
1659494745.130032,22579.58333333334
1659494750.130032,20350.13022076468
1659494755.130032,20471.391020671075
1659494760.130032,30300.012334070674
1659494765.130032,36649.43750000002
1659494770.130032,37256.64285714286
1659494775.130032,38845.94271474812
1659494780.130032,41632.548113889505
1659494785.130032,39868.00453284577
1659494790.130032,40794.19999999999
1659494795.130032,22248.799999999992
1659494800.130032,22779.904761904752
1659494805.130032,20256.315789473694
1659494810.130032,19685.249999999993
1659494815.130032,19690.199999999993
1659494820.130032,18130.631578947374
1659494825.130032,36331.799999999996
1659494830.130032,36485.41234836315
1659494835.130032,41578.99999999999
1659494840.130032,42951.51701397422
1659494845.130032,44940.38095238093
1659494850.130032,47714.291666666664
1659494855.130032,48694.64999999999
1659494860.130032,48694.64999999999
1659494865.130032,47824.42857142858
1659494870.130032,48090.58333333335
1659494875.130032,42746.07142857143
1659494880.130032,27256.0
1659494885.130032,24187.080671053827
1659494890.130032,24187.080671053827
1659494895.130032,22757.818181818177
1659494900.130032,21553.60729875806
1659494905.130032,19563.836559487867
1659494910.130032,16010.666666666664
1659494915.130032,16283.777777777774
1659494920.130032,15204.099999999999
1659494925.130032,19389.070771500184
1659494930.130032,22481.334577233698
1659494935.130032,24056.8215321404
1659494940.130032,22920.98436912788
1659494945.130032,24935.375325109897
1659494950.130032,26138.07629322776
1659494955.130032,24878.43784451723
1659494960.130032,22333.357142857145
1659494965.130032,22226.545454545456
1659494970.130032,33312.500000000015
1659494975.130032,35115.17647058824
1659494980.130032,37312.25161823887
1659494985.130032,36653.89669238595
1659494990.130032,35671.982300996104
1659494995.130032,33752.71717704698
1659495000.130032,21356.636363636364
1659495005.130032,12535.374999999998
1659495010.130032,12487.199999999999
1659495015.130032,12039.374999999998
1659495020.130032,16713.729387323434
1659495025.130032,22903.63636363636
1659495030.130032,25801.641055994816
1659495035.130032,26900.971978493286
1659495040.130032,29821.899999999998
1659495045.130032,28869.237898204974
1659495050.130032,27266.09832018957
1659495055.130032,22009.171346102834
1659495060.130032,20047.874999999996
1659495065.130032,18367.199999999997
1659495070.130032,18367.199999999997
1659495075.130032,30493.736104507254
1659495080.130032,34902.812500000015
1659495085.130032,36787.91875582263
1659495090.130032,37957.61845584095
1659495095.130032,37986.21007329573
1659495100.130032,35129.13333333334
1659495105.130032,24289.363636363632
1659495110.130032,13713.898796782116
1659495115.130032,13713.898796782116
1659495120.130032,16153.97278366684
1659495125.130032,18484.188404009128
1659495130.130032,19993.000000000007
1659495135.130032,19394.37190428338
1659495140.130032,26610.795039077228
1659495145.130032,34095.33333333332
1659495150.130032,34165.12340505083
1659495155.130032,35885.12002078533
1659495160.130032,38507.4782803805
1659495165.130032,38025.69999999998
1659495170.130032,36483.239212302295
1659495175.130032,29120.277015839907
1659495180.130032,27581.375000000015
1659495185.130032,24873.466666666664
1659495190.130032,20267.58333333334
1659495195.130032,19278.66902523713
1659495200.130032,19278.66902523713
1659495205.130032,15062.005238102058
1659495210.130032,12660.499083768036
1659495215.130032,11347.669827839687
1659495220.130032,9088.857142857143
1659495225.130032,9295.006801787147
1659495230.130032,9433.624085676092
1659495235.130032,9134.710496014177
1659495240.130032,8507.285714285714
1659495245.130032,8261.994578492095
1659495250.130032,12106.857142857143
1659495255.130032,14169.458035017738
1659495260.130032,15494.413297004367
1659495265.130032,15723.202194749312
1659495270.130032,15595.9891629699
1659495275.130032,15595.9891629699
1659495280.130032,13603.385191957128
1659495285.130032,12911.551774919883
1659495290.130032,9654.857142857143
1659495295.130032,8808.995164456946
1659495300.130032,9977.501281943325
1659495305.130032,10150.399999999998
